imo,type,number,start,end,Deadweight,ShiptypeLevel5,typnum,vessel_class,time_in,trip_number
9358541.0,berth,1,2021-03-09 22:50:48,2021-03-11 08:23:14,105365.0,Crude Oil Tanker,berth1,Aframax,1 days 09:32:26,2
9783019.0,berth,2,2021-03-11 13:21:13,2021-03-12 09:30:45,112052.0,Crude Oil Tanker,berth2,Aframax,0 days 20:09:32,2
9341067.0,berth,3,2021-03-12 15:14:42,2021-03-13 09:41:05,110119.0,Crude Oil Tanker,berth3,Aframax,0 days 18:26:23,1
9339301.0,berth,4,2021-03-14 09:51:17,2021-03-15 07:50:25,115857.0,Crude Oil Tanker,berth4,Aframax,0 days 21:59:08,2
9724087.0,berth,1,2021-03-14 14:01:53,2021-03-15 17:54:34,113737.0,Crude Oil Tanker,berth1,Aframax,1 days 03:52:41,1
9578658.0,berth,3,2021-03-15 07:32:47,2021-03-16 12:56:48,158670.0,Crude Oil Tanker,berth3,Suezmax,1 days 05:24:01,1
9703332.0,berth,2,2021-03-16 11:35:47,2021-03-17 09:16:13,109900.0,Crude/Oil Products Tanker,berth2,Aframax,0 days 21:40:26,2
9453987.0,berth,3,2021-03-16 14:34:40,2021-03-17 13:57:20,114062.0,Crude Oil Tanker,berth3,Aframax,0 days 23:22:40,1
9283710.0,anchorage,1,2021-03-16 21:41:10,2021-03-16 21:52:02,46955.0,Products Tanker,anchorage7,Handysize,0 days 00:10:52,
9737395.0,berth,2,2021-03-17 12:10:58,2021-03-18 12:40:15,113004.0,Crude Oil Tanker,berth2,Aframax,1 days 00:29:17,4
9299719.0,berth,1,2021-03-17 22:48:05,2021-03-18 22:08:09,110043.0,Crude Oil Tanker,berth1,Aframax,0 days 23:20:04,2
9384617.0,berth,2,2021-03-19 00:00:21,2021-03-22 06:18:30,297168.0,Crude Oil Tanker,berth2,VLCC,3 days 06:18:09,1
9299707.0,berth,1,2021-03-19 21:02:11,2021-03-20 15:23:12,109857.0,Crude Oil Tanker,berth1,Aframax,0 days 18:21:01,1.0
9299707.0,anchorage,1,2021-03-20 15:41:17,2021-03-20 15:41:47,109857.0,Crude Oil Tanker,anchorage3,Aframax,0 days 00:00:30,2.0
9356610.0,anchorage,1,2021-03-21 02:26:11,2021-03-21 03:18:00,17069.0,Chemical/Products Tanker,anchorage7,Sub Handysize,0 days 00:51:49,
9346732.0,berth,1,2021-03-21 06:25:32,2021-03-22 06:40:32,115940.0,Crude Oil Tanker,berth1,Aframax,1 days 00:15:00,1
9350757.0,anchorage,1,2021-03-22 11:26:58,2021-03-22 11:27:14,17998.0,Chemical/Products Tanker,anchorage6,Sub Handysize,0 days 00:00:16,
9373668.0,anchorage,1,2021-03-22 18:57:32,2021-03-22 19:08:14,115949.0,Crude Oil Tanker,anchorage4,Aframax,0 days 00:10:42,1
9373668.0,berth,1,2021-03-22 22:28:23,2021-03-23 20:34:28,115949.0,Crude Oil Tanker,berth1,Aframax,0 days 22:06:05,1
9724350.0,berth,3,2021-03-23 11:56:34,2021-03-24 07:02:22,112939.0,Crude Oil Tanker,berth3,Aframax,0 days 19:05:48,6
9486532.0,berth,2,2021-03-24 07:47:10,2021-03-27 03:26:37,297058.0,Crude Oil Tanker,berth2,VLCC,2 days 19:39:27,1
9410507.0,anchorage,1,2021-03-24 15:01:29,2021-03-24 15:03:52,6927.0,Chemical/Products Tanker,anchorage6,Sub Handysize,0 days 00:02:23,
9341067.0,berth,1,2021-03-25 23:34:02,2021-03-27 03:51:59,110119.0,Crude Oil Tanker,berth1,Aframax,1 days 04:17:57,2
9350757.0,anchorage,1,2021-03-26 13:30:57,2021-03-26 13:35:18,17998.0,Chemical/Products Tanker,anchorage4,Sub Handysize,0 days 00:04:21,
9438444.0,anchorage,1,2021-03-26 14:26:04,2021-03-26 15:10:34,11530.0,Chemical/Products Tanker,anchorage4,Sub Handysize,0 days 00:44:30,
9739836.0,anchorage,1,2021-03-26 16:22:31,2021-03-26 16:31:31,17999.0,Chemical/Products Tanker,anchorage5,Sub Handysize,0 days 00:09:00,
9737395.0,berth,1,2021-03-27 08:23:19,2021-03-28 07:18:19,113004.0,Crude Oil Tanker,berth1,Aframax,0 days 22:55:00,5
9332834.0,berth,3,2021-03-27 08:42:00,2021-03-28 02:33:16,115577.0,Crude Oil Tanker,berth3,Aframax,0 days 17:51:16,1
9876414.0,berth,2,2021-03-28 15:28:44,2021-03-30 10:00:23,313433.0,Crude Oil Tanker,berth2,VLCC,1 days 18:31:39,1
9292204.0,berth,3,2021-03-29 15:27:33,2021-03-30 12:38:49,105926.0,Crude Oil Tanker,berth3,Aframax,0 days 21:11:16,1
9292503.0,berth,4,2021-03-29 21:36:17,2021-03-31 01:24:36,115515.0,Crude Oil Tanker,berth4,Aframax,1 days 03:48:19,1
9808156.0,anchorage,1,2021-03-30 08:44:16,2021-03-30 08:45:26,112532.0,Crude Oil Tanker,anchorage5,Aframax,0 days 00:01:10,1
9808156.0,berth,2,2021-03-30 11:04:26,2021-03-31 08:02:19,112532.0,Crude Oil Tanker,berth2,Aframax,0 days 20:57:53,1
9856074.0,berth,2,2021-04-02 15:47:06,2021-04-06 22:40:53,318744.0,Crude Oil Tanker,berth2,VLCC,4 days 06:53:47,1
9358541.0,berth,4,2021-04-02 20:38:55,2021-04-03 19:54:06,105365.0,Crude Oil Tanker,berth4,Aframax,0 days 23:15:11,3
9232840.0,anchorage,1,2021-04-02 21:31:05,2021-04-02 21:32:05,7082.0,Chemical/Products Tanker,anchorage10,Sub Handysize,0 days 00:01:00,
9783019.0,berth,3,2021-04-03 00:28:14,2021-04-03 20:48:36,112052.0,Crude Oil Tanker,berth3,Aframax,0 days 20:20:22,3
9413559.0,berth,1,2021-04-04 00:16:16,2021-04-05 05:23:38,111107.0,Crude/Oil Products Tanker,berth1,Aframax,1 days 05:07:22,1
9413559.0,anchorage,1,2021-04-05 05:44:16,2021-04-05 06:23:27,111107.0,Crude/Oil Products Tanker,anchorage3,Aframax,0 days 00:39:11,2
9587192.0,berth,2,2021-04-07 03:33:32,2021-04-08 07:44:20,159058.0,Crude/Oil Products Tanker,berth2,Suezmax,1 days 04:10:48,1
9739812.0,anchorage,1,2021-04-09 09:47:30,2021-04-09 11:35:33,17994.0,Chemical/Products Tanker,anchorage4,Sub Handysize,0 days 01:48:03,
9737395.0,berth,3,2021-04-09 14:10:27,2021-04-10 11:36:35,113004.0,Crude Oil Tanker,berth3,Aframax,0 days 21:26:08,6
9341067.0,berth,1,2021-04-09 16:35:54,2021-04-10 13:12:41,110119.0,Crude Oil Tanker,berth1,Aframax,0 days 20:36:47,3
9306782.0,anchorage,1,2021-04-09 19:25:18,2021-04-09 19:36:59,109989.0,Crude Oil Tanker,anchorage13,Aframax,0 days 00:11:41,1
9306782.0,berth,4,2021-04-09 21:43:19,2021-04-10 22:14:19,109989.0,Crude Oil Tanker,berth4,Aframax,1 days 00:31:00,1
9341067.0,anchorage,1,2021-04-10 14:11:53,2021-04-10 14:17:54,110119.0,Crude Oil Tanker,anchorage12,Aframax,0 days 00:06:01,4
9297890.0,berth,2,2021-04-10 19:29:20,2021-04-11 21:04:06,163292.0,Crude Oil Tanker,berth2,Suezmax,1 days 01:34:46,1
9358541.0,berth,1,2021-04-12 21:41:55,2021-04-13 21:32:31,105365.0,Crude Oil Tanker,berth1,Aframax,0 days 23:50:36,4
9724350.0,berth,2,2021-04-13 16:11:53,2021-04-14 12:29:52,112939.0,Crude Oil Tanker,berth2,Aframax,0 days 20:17:59,7
9358541.0,anchorage,1,2021-04-13 22:27:44,2021-04-13 22:28:53,105365.0,Crude Oil Tanker,anchorage8,Aframax,0 days 00:01:09,5
9309435.0,berth,1,2021-04-14 07:32:20,2021-04-15 04:27:22,114850.0,Crude Oil Tanker,berth1,Aframax,0 days 20:55:02,1
9412581.0,berth,2,2021-04-14 17:42:21,2021-04-15 17:44:41,164028.0,Crude Oil Tanker,berth2,Suezmax,1 days 00:02:20,1
9410882.0,anchorage,1,2021-04-15 06:28:21,2021-04-15 06:38:41,112827.0,Crude Oil Tanker,anchorage13,Aframax,0 days 00:10:20,1
9410882.0,berth,1,2021-04-15 08:32:20,2021-04-16 10:28:42,112827.0,Crude Oil Tanker,berth1,Aframax,1 days 01:56:22,1
9519482.0,berth,2,2021-04-17 12:50:11,2021-04-19 03:06:45,321050.0,Crude Oil Tanker,berth2,ULCC,1 days 14:16:34,1
9318565.0,anchorage,1,2021-04-19 11:54:33,2021-04-19 12:01:03,16596.0,Chemical/Products Tanker,anchorage7,Sub Handysize,0 days 00:06:30,
9734109.0,berth,2,2021-04-19 11:56:30,2021-04-21 20:06:22,299999.0,Crude Oil Tanker,berth2,VLCC,2 days 08:09:52,1
9318228.0,anchorage,1,2021-04-19 19:58:34,2021-04-20 15:03:31,11249.0,Chemical/Products Tanker,anchorage7,Sub Handysize,0 days 19:04:57,
9292204.0,berth,1,2021-04-19 21:35:00,2021-04-20 19:14:57,105926.0,Crude Oil Tanker,berth1,Aframax,0 days 21:39:57,2
9833058.0,anchorage,1,2021-04-20 13:01:41,2021-04-20 13:12:42,50338.0,Chemical/Products Tanker,anchorage9,Handysize,0 days 00:11:01,
9779965.0,berth,4,2021-04-20 14:02:09,2021-04-21 16:44:08,113563.0,Crude Oil Tanker,berth4,Aframax,1 days 02:41:59,3
9292204.0,anchorage,1,2021-04-20 19:36:16,2021-04-20 19:36:47,105926.0,Crude Oil Tanker,anchorage3,Aframax,0 days 00:00:31,3
9779965.0,anchorage,1,2021-04-21 17:01:38,2021-04-21 17:10:21,113563.0,Crude Oil Tanker,anchorage3,Aframax,0 days 00:08:43,4
9762998.0,berth,2,2021-04-22 10:32:43,2021-04-24 08:12:19,299998.0,Crude Oil Tanker,berth2,VLCC,1 days 21:39:36,1
9724075.0,berth,1,2021-04-22 21:56:15,2021-04-23 19:16:17,113736.0,Crude Oil Tanker,berth1,Aframax,0 days 21:20:02,2
9358541.0,berth,3,2021-04-24 12:35:02,2021-04-25 09:22:44,105365.0,Crude Oil Tanker,berth3,Aframax,0 days 20:47:42,5
9846483.0,anchorage,1,2021-04-26 21:25:46,2021-04-26 21:28:46,772.0,Chemical/Products Tanker,anchorage11,Sub Handysize,0 days 00:03:00,
9783019.0,berth,1,2021-04-26 21:34:32,2021-04-28 01:25:17,112052.0,Crude Oil Tanker,berth1,Aframax,1 days 03:50:45,4
9767340.0,berth,3,2021-04-28 00:40:09,2021-04-28 17:04:18,109896.0,Crude/Oil Products Tanker,berth3,Aframax,0 days 16:24:09,1
9739836.0,anchorage,1,2021-04-28 05:32:27,2021-04-28 05:55:34,17999.0,Chemical/Products Tanker,anchorage5,Sub Handysize,0 days 00:23:07,
9403475.0,berth,1,2021-04-28 21:14:54,2021-04-29 17:33:22,106246.0,Crude Oil Tanker,berth1,Aframax,0 days 20:18:28,1
9594743.0,berth,3,2021-04-29 00:31:19,2021-04-30 01:48:35,158465.0,Crude Oil Tanker,berth3,Suezmax,1 days 01:17:16,1
9317951.0,berth,4,2021-04-29 12:13:01,2021-04-30 13:03:54,116779.0,Crude/Oil Products Tanker,berth4,Aframax,1 days 00:50:53,1
9403475.0,anchorage,1,2021-04-29 17:47:54,2021-04-29 19:11:51,106246.0,Crude Oil Tanker,anchorage3,Aframax,0 days 01:23:57,2
9320063.0,anchorage,1,2021-04-29 23:53:20,2021-05-01 19:32:22,11283.0,Chemical/Products Tanker,anchorage10,Sub Handysize,1 days 19:39:02,
9292204.0,berth,2,2021-04-30 00:34:38,2021-04-30 19:08:16,105926.0,Crude Oil Tanker,berth2,Aframax,0 days 18:33:38,3
9420629.0,berth,1,2021-05-02 21:40:32,2021-05-03 20:16:52,107488.0,Crude Oil Tanker,berth1,Aframax,0 days 22:36:20,1
9384198.0,berth,2,2021-05-03 08:49:30,2021-05-05 02:05:52,319427.0,Crude Oil Tanker,berth2,VLCC,1 days 17:16:22,1
9737400.0,berth,1,2021-05-04 21:56:21,2021-05-05 21:21:51,113039.0,Crude Oil Tanker,berth1,Aframax,0 days 23:25:30,1
9779941.0,berth,2,2021-05-05 19:43:21,2021-05-07 03:48:11,113838.0,Crude/Oil Products Tanker,berth2,Aframax,1 days 08:04:50,1
9779965.0,berth,3,2021-05-06 08:19:48,2021-05-07 02:54:08,113563.0,Crude Oil Tanker,berth3,Aframax,0 days 18:34:20,4
