port_name,type,number,geometry,H3_int_index_13
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580175715711
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580176713087
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580166027455
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580166023551
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580175715647
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580166028415
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580166031423
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580176703743
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580166029759
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580166021247
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580166024383
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580166032319
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580166025471
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580166023039
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580175769791
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580166022207
