imo,typnum,visit_num,start,end,Deadweight,ShiptypeLevel5,type,number,time_difference,port_name
9676125.0,berth1,0,2022-07-06 21:49:33,2022-07-08 06:24:43,119690.0,Shuttle Tanker,berth,1,1 days 08:35:10,MONGSTAD
9676125.0,berth1,1,2022-09-23 17:28:07,2022-09-25 06:37:09,119690.0,Shuttle Tanker,berth,1,1 days 13:09:02,MONGSTAD
9724087.0,berth1,0,2022-07-09 16:05:07,2022-07-10 12:22:34,113737.0,Crude Oil Tanker,berth,1,0 days 20:17:27,MONGSTAD
9322267.0,berth1,0,2022-06-07 12:57:51,2022-06-09 14:00:42,306507.0,Crude Oil Tanker,berth,1,2 days 01:02:51,MONGSTAD
9452880.0,berth1,0,2022-09-08 00:50:01,2022-09-09 01:44:03,166164.0,Crude Oil Tanker,berth,1,1 days 00:54:02,MONGSTAD
9920497.0,berth3,0,2022-11-14 07:13:16,2022-11-15 11:45:14,112095.0,Crude Oil Tanker,berth,3,1 days 04:31:58,MONGSTAD
9920497.0,berth3,1,2022-12-25 10:04:38,2022-12-26 11:06:06,112095.0,Crude Oil Tanker,berth,3,1 days 01:01:28,MONGSTAD
9513115.0,berth1,0,2022-12-15 16:23:46,2022-12-17 09:11:15,319319.0,Crude Oil Tanker,berth,1,1 days 16:47:29,MONGSTAD
9418597.0,berth3,0,2022-10-28 18:26:52,2022-10-29 20:29:50,156493.0,Crude Oil Tanker,berth,3,1 days 02:02:58,MONGSTAD
9683049.0,berth3,0,2022-07-24 21:56:06,2022-07-26 06:48:03,109475.0,Crude Oil Tanker,berth,3,1 days 08:51:57,MONGSTAD
9273557.0,berth4,0,2022-11-08 11:12:07,2022-11-09 09:36:16,148644.0,Shuttle Tanker,berth,4,0 days 22:24:09,MONGSTAD
9760500.0,berth4,0,2022-06-03 15:05:21,2022-06-04 11:12:42,106359.0,Crude Oil Tanker,berth,4,0 days 20:07:21,MONGSTAD
9863560.0,berth4,0,2022-09-09 10:01:25,2022-09-10 02:28:01,103118.0,Shuttle Tanker,berth,4,0 days 16:26:36,MONGSTAD
9863560.0,berth4,1,2022-10-10 19:37:06,2022-10-11 21:01:14,103118.0,Shuttle Tanker,berth,4,1 days 01:24:08,MONGSTAD
9248447.0,berth1,0,2022-10-09 18:13:30,2022-10-10 18:43:34,148553.0,Shuttle Tanker,berth,1,1 days 00:30:04,MONGSTAD
9724336.0,berth1,0,2022-09-21 19:11:01,2022-09-23 04:26:34,113611.0,Crude Oil Tanker,berth,1,1 days 09:15:33,MONGSTAD
9837171.0,berth1,0,2022-07-15 08:27:27,2022-07-16 02:20:20,129734.0,Shuttle Tanker,berth,1,0 days 17:52:53,MONGSTAD
9837171.0,berth1,1,2022-08-30 10:15:50,2022-08-31 00:33:52,129734.0,Shuttle Tanker,berth,1,0 days 14:18:02,MONGSTAD
9892444.0,berth4,0,2022-09-24 00:24:59,2022-09-25 08:21:44,112459.0,Crude Oil Tanker,berth,4,1 days 07:56:45,MONGSTAD
9910533.0,berth4,0,2022-10-18 08:21:15,2022-10-19 10:04:43,112066.0,Crude Oil Tanker,berth,4,1 days 01:43:28,MONGSTAD
9910533.0,berth4,1,2022-11-24 22:13:26,2022-11-25 20:40:23,112066.0,Crude Oil Tanker,berth,4,0 days 22:26:57,MONGSTAD
9472529.0,berth1,0,2022-10-11 05:48:55,2022-10-12 03:24:58,157644.0,Shuttle Tanker,berth,1,0 days 21:36:03,MONGSTAD
9334777.0,berth3,1,2022-07-22 16:30:05,2022-07-26 12:45:15,690.0,Tug,berth,3,3 days 20:15:10,MONGSTAD
